sample_id,track_c_status,same_plan_success,replan_R3_success,same_plan_execution_status,replan_R3_execution_status,attribution,case_dir
CommenSence/insert_flower_common_sense/example9,C1_qwen_guided_condition_failure,False,False,completed,completed,A0_no_recovery,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\data\CommenSence\insert_flower_common_sense\example9
CommenSence/insert_flower_common_sense/example19,C1_qwen_guided_condition_failure,False,False,completed,completed,A0_no_recovery,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\data\CommenSence\insert_flower_common_sense\example19
CommenSence/insert_flower_common_sense/example31,C1_qwen_guided_condition_failure,False,True,completed,completed,A3_or_A4_replan_recovered,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\data\CommenSence\insert_flower_common_sense\example31
CommenSence/insert_flower_common_sense/example47,C1_qwen_guided_condition_failure,False,False,,,A0_no_recovery,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\data\CommenSence\insert_flower_common_sense\example47
CommenSence/insert_flower_common_sense/example78,C1_qwen_guided_condition_failure,False,False,,,A0_no_recovery,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\data\CommenSence\insert_flower_common_sense\example78
CommenSence/insert_flower_common_sense/example81,C1_qwen_guided_condition_failure,False,False,,,A0_no_recovery,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\data\CommenSence\insert_flower_common_sense\example81
CommenSence/insert_flower_common_sense/example94,C1_qwen_guided_condition_failure,False,False,,,A0_no_recovery,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\data\CommenSence\insert_flower_common_sense\example94
CommenSence/select_billiards_common_sense/example3,C1_qwen_guided_condition_failure,False,False,,,A0_no_recovery,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example3
CommenSence/select_billiards_common_sense/example4,C1_qwen_guided_condition_failure,False,False,,,A0_no_recovery,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example4
CommenSence/select_billiards_common_sense/example6,C1_qwen_guided_condition_failure,False,False,,,A0_no_recovery,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example6
CommenSence/select_billiards_common_sense/example7,C1_qwen_guided_condition_failure,False,False,,,A0_no_recovery,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example7
CommenSence/select_billiards_common_sense/example8,C1_qwen_guided_condition_failure,False,False,,,A0_no_recovery,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example8
CommenSence/select_billiards_common_sense/example9,C1_qwen_guided_condition_failure,False,False,,,A0_no_recovery,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example9
CommenSence/select_billiards_common_sense/example11,C1_qwen_guided_condition_failure,False,False,,,A0_no_recovery,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example11
CommenSence/select_billiards_common_sense/example12,C1_qwen_guided_condition_failure,False,False,,,A0_no_recovery,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example12
CommenSence/select_billiards_common_sense/example13,C1_qwen_guided_condition_failure,False,False,,,A0_no_recovery,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example13
CommenSence/select_billiards_common_sense/example14,C1_qwen_guided_condition_failure,False,False,,,A0_no_recovery,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example14
CommenSence/select_billiards_common_sense/example16,C1_qwen_guided_condition_failure,False,False,,,A0_no_recovery,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example16
CommenSence/select_billiards_common_sense/example18,C1_qwen_guided_condition_failure,False,False,,,A0_no_recovery,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example18
CommenSence/select_billiards_common_sense/example19,C1_qwen_guided_condition_failure,False,False,,,A0_no_recovery,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example19
CommenSence/select_billiards_common_sense/example21,C1_qwen_guided_condition_failure,False,False,,,A0_no_recovery,C:\SILVER\archive\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example21
